chr	start	end	arm	gc	map	blacklisted_bases
chr2	20000000	25000000	2p	0.415723	0.990634	2900
chr2	25000000	30000000	2p	0.448111	0.994873	0
chr2	30000000	35000000	2p	0.404574	0.988371	9000
chr2	35000000	40000000	2p	0.393630	0.990025	1500
chr2	40000000	45000000	2p	0.405394	0.990528	0
chr2	45000000	50000000	2p	0.417867	0.991310	2000
chr2	50000000	55000000	2p	0.372553	0.992466	0
chr2	55000000	60000000	2p	0.374792	0.985142	0
chr2	60000000	65000000	2p	0.408819	0.990183	17700
chr2	65000000	70000000	2p	0.404899	0.988673	0
chr2	70000000	75000000	2p	0.439164	0.981776	0
chr2	75000000	80000000	2p	0.368124	0.982702	0
chr2	80000000	85000000	2p	0.370402	0.989994	0
chr2	100000000	105000000	2q	0.406163	0.991605	0
chr2	105000000	110000000	2q	0.419945	0.911351	257700
chr2	115000000	120000000	2q	0.394160	0.983681	0
chr2	120000000	125000000	2q	0.414157	0.988062	0
chr2	125000000	130000000	2q	0.424434	0.988249	0
chr2	135000000	140000000	2q	0.383100	0.988831	0
chr2	140000000	145000000	2q	0.360176	0.991005	0
chr2	145000000	150000000	2q	0.373339	0.987907	2000
chr2	150000000	155000000	2q	0.378966	0.984627	0
chr2	155000000	160000000	2q	0.377615	0.983982	0
chr2	160000000	165000000	2q	0.368851	0.989020	5700
chr2	165000000	170000000	2q	0.376447	0.984056	0
chr2	170000000	175000000	2q	0.405830	0.990358	0
chr2	175000000	180000000	2q	0.388445	0.984432	0
chr2	180000000	185000000	2q	0.362173	0.986935	2000
chr2	185000000	190000000	2q	0.357819	0.987814	0
chr2	190000000	195000000	2q	0.362351	0.987032	0
chr2	195000000	200000000	2q	0.382485	0.985391	0
chr2	200000000	205000000	2q	0.404137	0.990414	0
chr2	205000000	210000000	2q	0.394344	0.985951	0
chr2	210000000	215000000	2q	0.360744	0.988391	0
chr2	215000000	220000000	2q	0.445662	0.993764	0
chr2	220000000	225000000	2q	0.397698	0.993210	0
chr2	225000000	230000000	2q	0.388866	0.988697	1900
chr2	230000000	235000000	2q	0.449403	0.985750	4600
chr2	235000000	240000000	2q	0.472104	0.992725	3400
chr3	0	5000000	3p	0.383715	0.982053	18900
chr3	5000000	10000000	3p	0.408116	0.988894	0
chr3	10000000	15000000	3p	0.469184	0.992751	1500
chr3	15000000	20000000	3p	0.392863	0.983053	44400
chr3	20000000	25000000	3p	0.379037	0.985705	6300
chr3	25000000	30000000	3p	0.380151	0.985586	25300
chr3	30000000	35000000	3p	0.399830	0.991391	0
chr3	35000000	40000000	3p	0.408551	0.986963	53600
chr3	40000000	45000000	3p	0.422953	0.985365	21100
chr3	45000000	50000000	3p	0.464752	0.992534	25700
chr3	50000000	55000000	3p	0.460064	0.988856	4200
chr3	55000000	60000000	3p	0.414744	0.987178	1700
chr3	60000000	65000000	3p	0.397669	0.989500	0
chr3	65000000	70000000	3p	0.397538	0.990936	21300
chr3	70000000	75000000	3p	0.402475	0.991795	0
chr3	75000000	80000000	3p	0.367484	0.983722	97600
chr3	80000000	85000000	3p	0.349533	0.988824	18000
chr3	85000000	90000000	3p	0.353439	0.985387	24900
chr3	95000000	100000000	3q	0.362148	0.986216	21100
chr3	100000000	105000000	3q	0.368799	0.987205	35800
chr3	105000000	110000000	3q	0.375531	0.985504	11700
chr3	110000000	115000000	3q	0.381869	0.984941	5100
chr3	115000000	120000000	3q	0.379244	0.987371	0
chr3	120000000	125000000	3q	0.415103	0.985043	68600
chr3	125000000	130000000	3q	0.466668	0.986601	0
chr3	130000000	135000000	3q	0.408865	0.978643	30700
chr3	135000000	140000000	3q	0.413555	0.979101	42000
chr3	140000000	145000000	3q	0.397026	0.991377	0
chr3	145000000	150000000	3q	0.365866	0.988268	0
chr3	150000000	155000000	3q	0.379847	0.988502	5100
chr3	155000000	160000000	3q	0.389886	0.981403	21500
chr3	160000000	165000000	3q	0.362363	0.987803	19700
chr3	165000000	170000000	3q	0.361149	0.986865	26800
chr3	170000000	175000000	3q	0.382932	0.990910	33700
chr3	175000000	180000000	3q	0.378717	0.987328	22200
chr3	180000000	185000000	3q	0.408479	0.991775	5500
chr3	185000000	190000000	3q	0.410342	0.988366	2200
chr3	190000000	195000000	3q	0.398374	0.991246	14700
chr4	0	5000000	4p	0.498153	0.976333	113500
chr4	5000000	10000000	4p	0.489625	0.944817	161900
chr4	10000000	15000000	4p	0.395332	0.981502	0
chr4	15000000	20000000	4p	0.391351	0.986449	0
chr4	20000000	25000000	4p	0.384654	0.989222	0
chr4	25000000	30000000	4p	0.381662	0.992737	0
chr4	30000000	35000000	4p	0.348658	0.991466	0
chr4	35000000	40000000	4p	0.389197	0.992160	0
chr4	40000000	45000000	4p	0.390048	0.990656	26500
chr4	55000000	60000000	4q	0.380143	0.974780	2000
chr4	60000000	65000000	4q	0.349350	0.984009	0
chr4	65000000	70000000	4q	0.358052	0.978339	0
chr4	70000000	75000000	4q	0.374318	0.984576	0
chr4	75000000	80000000	4q	0.392626	0.982368	15600
chr4	80000000	85000000	4q	0.388204	0.987428	0
chr4	85000000	90000000	4q	0.383015	0.984833	0
chr4	90000000	95000000	4q	0.357199	0.981915	0
chr4	95000000	100000000	4q	0.370370	0.983107	0
chr4	100000000	105000000	4q	0.367502	0.982253	0
chr4	105000000	110000000	4q	0.379177	0.985653	0
chr4	110000000	115000000	4q	0.372821	0.984016	0
chr4	115000000	120000000	4q	0.359208	0.965593	27300
chr4	120000000	125000000	4q	0.373116	0.986693	0
chr4	125000000	130000000	4q	0.369297	0.984372	0
chr4	130000000	135000000	4q	0.348100	0.977400	0
chr4	135000000	140000000	4q	0.369225	0.989575	0
chr4	140000000	145000000	4q	0.379201	0.974781	0
chr4	145000000	150000000	4q	0.383204	0.984579	20200
chr4	150000000	155000000	4q	0.397846	0.992884	0
chr4	155000000	160000000	4q	0.370753	0.986786	0
chr4	160000000	165000000	4q	0.357879	0.983344	1900
chr4	165000000	170000000	4q	0.374624	0.983790	27000
chr4	170000000	175000000	4q	0.367882	0.989880	0
chr4	175000000	180000000	4q	0.361170	0.991146	0
chr4	180000000	185000000	4q	0.401622	0.990020	3500
chr4	185000000	190000000	4q	0.404953	0.979650	141100
chr5	0	5000000	5p	0.469163	0.971040	80600
chr5	5000000	10000000	5p	0.411123	0.988414	4000
chr5	10000000	15000000	5p	0.400094	0.993763	0
chr5	15000000	20000000	5p	0.384958	0.973089	83400
chr5	20000000	25000000	5p	0.353490	0.962268	20000
chr5	25000000	30000000	5p	0.347756	0.987221	2900
chr5	30000000	35000000	5p	0.398041	0.969484	66900
chr5	35000000	40000000	5p	0.392932	0.987676	0
chr5	40000000	45000000	5p	0.381896	0.981854	0
chr5	50000000	55000000	5q	0.375776	0.956031	165300
chr5	55000000	60000000	5q	0.392708	0.986992	0
chr5	60000000	65000000	5q	0.382784	0.981190	17400
chr5	65000000	70000000	5q	0.393627	0.901793	459300
chr5	75000000	80000000	5q	0.402289	0.982000	29600
chr5	80000000	85000000	5q	0.380715	0.985001	4000
chr5	85000000	90000000	5q	0.358219	0.986976	20900
chr5	90000000	95000000	5q	0.366434	0.985680	4700
chr5	95000000	100000000	5q	0.375483	0.974281	0
chr5	100000000	105000000	5q	0.357542	0.972765	30800
chr5	105000000	110000000	5q	0.363224	0.987946	9900
chr5	110000000	115000000	5q	0.384197	0.986415	7800
chr5	115000000	120000000	5q	0.378296	0.987548	1600
chr5	120000000	125000000	5q	0.373997	0.985089	1900
chr5	125000000	130000000	5q	0.379245	0.986104	0
chr5	130000000	135000000	5q	0.422397	0.986154	6900
chr5	135000000	140000000	5q	0.441462	0.989924	6100
chr5	140000000	145000000	5q	0.415858	0.988806	0
chr5	145000000	150000000	5q	0.401764	0.985449	5500
chr5	150000000	155000000	5q	0.428223	0.984769	5900
chr5	155000000	160000000	5q	0.406390	0.988784	7100
chr5	160000000	165000000	5q	0.376974	0.987565	5700
chr5	165000000	170000000	5q	0.399279	0.992188	0
chr5	170000000	175000000	5q	0.447742	0.991529	6300
chr5	175000000	180000000	5q	0.475542	0.922543	286700
chr6	0	5000000	6p	0.434544	0.962142	131000
chr6	5000000	10000000	6p	0.410351	0.987716	0
chr6	10000000	15000000	6p	0.417444	0.995070	0
chr6	15000000	20000000	6p	0.410090	0.990913	0
chr6	20000000	25000000	6p	0.394416	0.989799	0
chr6	25000000	30000000	6p	0.409388	0.952802	163100
chr6	30000000	35000000	6p	0.469141	0.980093	5200
chr6	35000000	40000000	6p	0.444520	0.994689	44300
chr6	40000000	45000000	6p	0.464289	0.992892	38700
chr6	45000000	50000000	6p	0.379281	0.987626	0
chr6	50000000	55000000	6p	0.385741	0.986223	31900
chr6	65000000	70000000	6q	0.348840	0.985410	0
chr6	70000000	75000000	6q	0.379199	0.979598	0
chr6	75000000	80000000	6q	0.370932	0.982468	0
chr6	80000000	85000000	6q	0.372936	0.978866	0
chr6	85000000	90000000	6q	0.397682	0.980867	0
chr6	90000000	95000000	6q	0.359113	0.987813	0
chr6	95000000	100000000	6q	0.368090	0.976775	0
chr6	100000000	105000000	6q	0.356003	0.983380	6100
chr6	105000000	110000000	6q	0.411566	0.988431	0
chr6	110000000	115000000	6q	0.387692	0.986647	0
chr6	115000000	120000000	6q	0.377064	0.985555	1900
chr6	120000000	125000000	6q	0.362446	0.983877	0
chr6	125000000	130000000	6q	0.369799	0.987545	0
chr6	130000000	135000000	6q	0.387890	0.988145	0
chr6	135000000	140000000	6q	0.396430	0.993129	0
chr6	140000000	145000000	6q	0.374424	0.990136	1900
chr6	145000000	150000000	6q	0.392965	0.990646	0
chr6	150000000	155000000	6q	0.402330	0.993199	0
chr6	155000000	160000000	6q	0.423947	0.991123	20100
chr6	160000000	165000000	6q	0.405563	0.983307	35700
chr6	165000000	170000000	6q	0.446696	0.973113	0
chr7	0	5000000	7p	0.509503	0.977177	70900
chr7	5000000	10000000	7p	0.416814	0.963146	0
chr7	10000000	15000000	7p	0.359998	0.988169	0
chr7	15000000	20000000	7p	0.365553	0.989202	0
chr7	20000000	25000000	7p	0.396743	0.988176	0
chr7	25000000	30000000	7p	0.412568	0.987937	0
chr7	30000000	35000000	7p	0.409586	0.973534	0
chr7	35000000	40000000	7p	0.403804	0.981292	0
chr7	40000000	45000000	7p	0.419999	0.988861	0
chr7	45000000	50000000	7p	0.409854	0.984202	2000
chr7	50000000	55000000	7p	0.391502	0.985235	0
chr7	65000000	70000000	7q	0.433369	0.936249	8500
chr7	80000000	85000000	7q	0.354659	0.989457	0
chr7	85000000	90000000	7q	0.360013	0.984213	0
chr7	90000000	95000000	7q	0.377181	0.982865	0
chr7	95000000	100000000	7q	0.419219	0.984285	0
chr7	100000000	105000000	7q	0.453989	0.934537	241700
chr7	105000000	110000000	7q	0.393113	0.989088	0
chr7	110000000	115000000	7q	0.368301	0.981182	0
chr7	115000000	120000000	7q	0.363035	0.988698	0
chr7	120000000	125000000	7q	0.366177	0.988523	0
chr7	125000000	130000000	7q	0.404855	0.987139	0
chr7	130000000	135000000	7q	0.419172	0.993054	0
chr7	135000000	140000000	7q	0.407089	0.989811	0
chr7	140000000	145000000	7q	0.415131	0.900209	199900
chr7	145000000	150000000	7q	0.397246	0.981974	22200
chr7	150000000	155000000	7q	0.445071	0.953950	59300
chr8	0	5000000	8p	0.426138	0.911543	0
chr8	10000000	15000000	8p	0.414103	0.917814	477400
chr8	15000000	20000000	8p	0.387460	0.992066	0
chr8	20000000	25000000	8p	0.439782	0.993651	0
chr8	25000000	30000000	8p	0.425013	0.990719	0
chr8	30000000	35000000	8p	0.393182	0.988246	0
chr8	35000000	40000000	8p	0.405927	0.991100	0
chr8	50000000	55000000	8q	0.388117	0.989438	0
chr8	55000000	60000000	8q	0.389896	0.986125	12900
chr8	60000000	65000000	8q	0.384109	0.987340	0
chr8	65000000	70000000	8q	0.392360	0.986022	10900
chr8	70000000	75000000	8q	0.390241	0.984840	5700
chr8	75000000	80000000	8q	0.358039	0.986889	4100
chr8	80000000	85000000	8q	0.369314	0.985096	10400
chr8	85000000	90000000	8q	0.370531	0.947950	193000
chr8	90000000	95000000	8q	0.384494	0.986250	0
chr8	95000000	100000000	8q	0.400368	0.981066	3800
chr8	100000000	105000000	8q	0.405400	0.988925	0
chr8	105000000	110000000	8q	0.369885	0.989268	4600
chr8	110000000	115000000	8q	0.344160	0.986091	0
chr8	115000000	120000000	8q	0.385512	0.988944	0
chr8	120000000	125000000	8q	0.404796	0.989459	0
chr8	125000000	130000000	8q	0.405750	0.983759	0
chr8	130000000	135000000	8q	0.421000	0.990013	0
chr8	135000000	140000000	8q	0.413470	0.988105	0
chr8	140000000	145000000	8q	0.526376	0.990729	48100
chr9	0	5000000	9p	0.401783	0.967561	2500
chr9	5000000	10000000	9p	0.383695	0.987932	0
chr9	10000000	15000000	9p	0.363869	0.988149	0
chr9	15000000	20000000	9p	0.395514	0.984515	0
chr9	20000000	25000000	9p	0.371591	0.984340	0
chr9	25000000	30000000	9p	0.367271	0.988525	0
chr9	30000000	35000000	9p	0.399919	0.980826	3400
chr9	70000000	75000000	9q	0.381476	0.984922	2400
chr9	75000000	80000000	9q	0.397335	0.986974	1900
chr9	80000000	85000000	9q	0.394043	0.979075	4000
chr9	85000000	90000000	9q	0.427547	0.981111	4800
chr9	90000000	95000000	9q	0.436685	0.975589	0
chr9	95000000	100000000	9q	0.433042	0.978876	0
chr9	100000000	105000000	9q	0.372131	0.984284	0
chr9	105000000	110000000	9q	0.411186	0.988532	4600
chr9	110000000	115000000	9q	0.424771	0.981007	0
chr9	115000000	120000000	9q	0.395577	0.990991	0
chr9	120000000	125000000	9q	0.441845	0.990356	0
chr9	125000000	130000000	9q	0.484623	0.995325	0
chr9	130000000	135000000	9q	0.511547	0.990930	21000
chr10	0	5000000	10p	0.429959	0.978335	45700
chr10	5000000	10000000	10p	0.411287	0.986363	0
chr10	10000000	15000000	10p	0.429893	0.992340	0
chr10	15000000	20000000	10p	0.395186	0.989129	0
chr10	20000000	25000000	10p	0.401326	0.987546	0
chr10	25000000	30000000	10p	0.404515	0.989036	0
chr10	30000000	35000000	10p	0.410230	0.987654	0
chr10	50000000	55000000	10q	0.368046	0.967908	0
chr10	55000000	60000000	10q	0.364405	0.988203	0
chr10	60000000	65000000	10q	0.384246	0.990851	0
chr10	65000000	70000000	10q	0.396743	0.990773	0
chr10	70000000	75000000	10q	0.446945	0.990988	0
chr10	75000000	80000000	10q	0.446485	0.969019	0
chr10	80000000	85000000	10q	0.392902	0.983728	0
chr10	85000000	90000000	10q	0.406290	0.954392	0
chr10	90000000	95000000	10q	0.401856	0.984714	0
chr10	95000000	100000000	10q	0.429618	0.985150	0
chr10	100000000	105000000	10q	0.454420	0.994139	0
chr10	105000000	110000000	10q	0.383022	0.984027	0
chr10	110000000	115000000	10q	0.418934	0.991535	0
chr10	115000000	120000000	10q	0.419609	0.991536	0
chr10	120000000	125000000	10q	0.447492	0.988028	0
chr10	125000000	130000000	10q	0.442246	0.992622	7100
chr11	0	5000000	11p	0.503847	0.919807	213900
chr11	5000000	10000000	11p	0.414974	0.982009	0
chr11	10000000	15000000	11p	0.418008	0.987166	4200
chr11	15000000	20000000	11p	0.421930	0.990217	0
chr11	20000000	25000000	11p	0.371120	0.984641	0
chr11	25000000	30000000	11p	0.368938	0.983429	30400
chr11	30000000	35000000	11p	0.403298	0.988468	0
chr11	35000000	40000000	11p	0.380839	0.987044	0
chr11	40000000	45000000	11p	0.399076	0.989068	0
chr11	45000000	50000000	11p	0.428968	0.970952	0
chr11	55000000	60000000	11q	0.394906	0.981841	0
chr11	60000000	65000000	11q	0.478891	0.977353	45900
chr11	65000000	70000000	11q	0.503939	0.988386	0
chr11	70000000	75000000	11q	0.463454	0.964374	3900
chr11	75000000	80000000	11q	0.439719	0.989743	2000
chr11	80000000	85000000	11q	0.373248	0.990900	0
chr11	85000000	90000000	11q	0.380484	0.933170	0
chr11	90000000	95000000	11q	0.384725	0.969916	17900
chr11	95000000	100000000	11q	0.366007	0.985595	0
chr11	100000000	105000000	11q	0.375965	0.985335	1900
chr11	105000000	110000000	11q	0.379079	0.986342	0
chr11	110000000	115000000	11q	0.418381	0.990860	0
chr11	115000000	120000000	11q	0.461434	0.993361	0
chr11	120000000	125000000	11q	0.423550	0.991429	12000
chr11	125000000	130000000	11q	0.426091	0.990081	0
chr11	130000000	135000000	11q	0.438826	0.990273	2000
chr12	0	5000000	12p	0.450631	0.981373	151200
chr12	5000000	10000000	12p	0.438396	0.965786	4100
chr12	10000000	15000000	12p	0.403302	0.985508	0
chr12	15000000	20000000	12p	0.370219	0.989672	0
chr12	20000000	25000000	12p	0.369895	0.985567	3800
chr12	25000000	30000000	12p	0.386146	0.987302	44200
chr12	30000000	35000000	12p	0.405851	0.935229	284600
chr12	40000000	45000000	12q	0.374119	0.983540	1900
chr12	45000000	50000000	12q	0.423496	0.988815	0
chr12	50000000	55000000	12q	0.459097	0.988889	0
chr12	55000000	60000000	12q	0.419209	0.980306	0
chr12	60000000	65000000	12q	0.378183	0.980694	1900
chr12	65000000	70000000	12q	0.394600	0.987374	1900
chr12	70000000	75000000	12q	0.364753	0.983098	0
chr12	75000000	80000000	12q	0.371400	0.990455	0
chr12	80000000	85000000	12q	0.357465	0.985452	0
chr12	85000000	90000000	12q	0.358596	0.984762	0
chr12	90000000	95000000	12q	0.389120	0.989954	0
chr12	95000000	100000000	12q	0.394803	0.988251	0
chr12	100000000	105000000	12q	0.404020	0.988263	8000
chr12	105000000	110000000	12q	0.439130	0.991881	0
chr12	110000000	115000000	12q	0.458045	0.994502	1900
chr12	115000000	120000000	12q	0.437546	0.996000	0
chr12	120000000	125000000	12q	0.482803	0.994247	45700
chr12	125000000	130000000	12q	0.427970	0.990381	0
chr13	20000000	25000000	13q	0.416486	0.987715	0
chr13	25000000	30000000	13q	0.419081	0.992570	0
chr13	30000000	35000000	13q	0.402313	0.991091	0
chr13	35000000	40000000	13q	0.375879	0.989129	0
chr13	40000000	45000000	13q	0.404347	0.985941	0
chr13	45000000	50000000	13q	0.400738	0.985420	0
chr13	50000000	55000000	13q	0.392530	0.967539	0
chr13	55000000	60000000	13q	0.351365	0.983362	32000
chr13	60000000	65000000	13q	0.351234	0.983777	0
chr13	65000000	70000000	13q	0.344748	0.991702	0
chr13	70000000	75000000	13q	0.364665	0.990934	0
chr13	75000000	80000000	13q	0.376901	0.987769	0
chr13	80000000	85000000	13q	0.351141	0.990875	0
chr13	85000000	90000000	13q	0.345246	0.978091	0
chr13	90000000	95000000	13q	0.368111	0.989429	0
chr13	95000000	100000000	13q	0.415009	0.991110	0
chr13	100000000	105000000	13q	0.380594	0.992064	0
chr13	105000000	110000000	13q	0.385799	0.990329	2000
chr14	20000000	25000000	14q	0.431670	0.981045	65300
chr14	25000000	30000000	14q	0.359984	0.983760	5600
chr14	30000000	35000000	14q	0.394856	0.985437	32400
chr14	35000000	40000000	14q	0.386031	0.983948	8500
chr14	40000000	45000000	14q	0.350986	0.980144	6900
chr14	45000000	50000000	14q	0.367090	0.983190	6600
chr14	50000000	55000000	14q	0.402231	0.989653	4400
chr14	55000000	60000000	14q	0.398638	0.987123	6000
chr14	60000000	65000000	14q	0.401832	0.987506	0
chr14	65000000	70000000	14q	0.418556	0.992191	0
chr14	70000000	75000000	14q	0.433243	0.988237	17300
chr14	75000000	80000000	14q	0.430404	0.993875	0
chr14	80000000	85000000	14q	0.368396	0.991395	0
chr14	85000000	90000000	14q	0.390350	0.989973	18300
chr14	90000000	95000000	14q	0.450540	0.992746	0
chr14	95000000	100000000	14q	0.443782	0.997160	0
chr14	100000000	105000000	14q	0.494733	0.994637	10600
chr15	25000000	30000000	15q	0.426404	0.923156	379900
chr15	35000000	40000000	15q	0.381835	0.988352	0
chr15	40000000	45000000	15q	0.443991	0.965950	0
chr15	45000000	50000000	15q	0.390425	0.985127	0
chr15	50000000	55000000	15q	0.396392	0.986643	6500
chr15	55000000	60000000	15q	0.403088	0.990517	3400
chr15	60000000	65000000	15q	0.423255	0.992847	0
chr15	65000000	70000000	15q	0.447021	0.995195	0
chr15	70000000	75000000	15q	0.447224	0.976282	85800
chr15	75000000	80000000	15q	0.449786	0.975926	47700
chr15	85000000	90000000	15q	0.430479	0.974312	0
chr15	90000000	95000000	15q	0.426753	0.991884	0
chr15	95000000	100000000	15q	0.404019	0.990957	0
chr16	0	5000000	16p	0.541100	0.967637	0
chr16	5000000	10000000	16p	0.431567	0.992760	0
chr16	10000000	15000000	16p	0.452621	0.952296	0
chr16	50000000	55000000	16q	0.421100	0.993523	0
chr16	55000000	60000000	16q	0.440178	0.986408	0
chr16	60000000	65000000	16q	0.365798	0.988186	0
chr16	65000000	70000000	16q	0.459236	0.987366	0
chr16	70000000	75000000	16q	0.434877	0.931606	0
chr16	75000000	80000000	16q	0.414531	0.994018	0
chr16	80000000	85000000	16q	0.447365	0.993288	0
chr16	85000000	90000000	16q	0.529501	0.986785	0
chr17	0	5000000	17p	0.493499	0.944969	232200
chr17	5000000	10000000	17p	0.472267	0.993350	0
chr17	10000000	15000000	17p	0.416410	0.990431	0
chr17	30000000	35000000	17q	0.440276	0.976038	0
chr17	40000000	45000000	17q	0.479168	0.979216	96700
chr17	45000000	50000000	17q	0.462683	0.901371	129800
chr17	50000000	55000000	17q	0.403553	0.992688	2400
chr17	55000000	60000000	17q	0.428298	0.987137	0
chr17	60000000	65000000	17q	0.428451	0.965784	0
chr17	65000000	70000000	17q	0.421811	0.991104	0
chr17	70000000	75000000	17q	0.443341	0.994473	0
chr17	75000000	80000000	17q	0.513056	0.996191	0
chr18	0	5000000	18p	0.394345	0.976168	98300
chr18	5000000	10000000	18p	0.410525	0.989431	0
chr18	10000000	15000000	18p	0.426872	0.950475	0
chr18	25000000	30000000	18q	0.375018	0.989760	0
chr18	30000000	35000000	18q	0.371223	0.989638	0
chr18	35000000	40000000	18q	0.400374	0.988401	0
chr18	40000000	45000000	18q	0.369175	0.990536	0
chr18	45000000	50000000	18q	0.439919	0.976733	72100
chr18	50000000	55000000	18q	0.392321	0.988910	2000
chr18	55000000	60000000	18q	0.411884	0.991151	0
chr18	60000000	65000000	18q	0.385820	0.988250	0
chr18	65000000	70000000	18q	0.351804	0.991122	0
chr18	70000000	75000000	18q	0.379036	0.989819	2200
chr18	75000000	80000000	18q	0.446405	0.987763	34300
chr19	0	5000000	19p	0.556046	0.944983	271200
chr19	5000000	10000000	19p	0.496131	0.975403	105200
chr19	10000000	15000000	19p	0.497449	0.992083	0
chr19	15000000	20000000	19p	0.510408	0.994908	0
chr19	30000000	35000000	19q	0.454207	0.993467	12300
chr19	35000000	40000000	19q	0.478969	0.971310	85200
chr19	40000000	45000000	19q	0.473143	0.973187	23400
chr19	45000000	50000000	19q	0.511119	0.982348	56700
chr19	50000000	55000000	19q	0.474676	0.972681	49900
chr20	0	5000000	20p	0.454425	0.978000	67900
chr20	5000000	10000000	20p	0.394466	0.989256	0
chr20	10000000	15000000	20p	0.388973	0.989875	0
chr20	15000000	20000000	20p	0.417987	0.990755	0
chr20	20000000	25000000	20p	0.429538	0.987642	0
chr20	30000000	35000000	20q	0.454927	0.913131	250600
chr20	35000000	40000000	20q	0.456325	0.992420	0
chr20	40000000	45000000	20q	0.439486	0.991374	0
chr20	45000000	50000000	20q	0.462293	0.990732	6400
chr20	50000000	55000000	20q	0.437533	0.993081	0
chr20	55000000	60000000	20q	0.446999	0.993172	0
chr21	15000000	20000000	21q	0.364996	0.988302	0
chr21	20000000	25000000	21q	0.350522	0.995265	0
chr21	25000000	30000000	21q	0.379096	0.991302	0
chr21	30000000	35000000	21q	0.423159	0.972047	0
chr21	35000000	40000000	21q	0.429603	0.994283	0
chr22	25000000	30000000	22q	0.454106	0.988408	0
chr22	30000000	35000000	22q	0.450182	0.991947	0
chr22	35000000	40000000	22q	0.496137	0.992779	0
chr22	40000000	45000000	22q	0.490703	0.990314	0
chr22	45000000	50000000	22q	0.498954	0.994380	2600
